epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,4009.57,1.7353,1.11163,0.99764,0.94577,0.61297,0.68891,0.46856,1.15012,0.64515,0.91858,0.0004852,0.0004852,0.0004852
106,4045.44,1.73221,1.09463,1.00128,0.95401,0.61297,0.68921,0.46936,1.14404,0.64313,0.91721,0.00048025,0.00048025,0.00048025
107,4080.29,1.73821,1.10047,0.99856,0.95451,0.61297,0.6895,0.47022,1.13784,0.64212,0.91636,0.0004753,0.0004753,0.0004753
108,4115.39,1.72664,1.0886,0.99592,0.95456,0.61297,0.689,0.47006,1.13267,0.64064,0.9158,0.00047035,0.00047035,0.00047035
109,4151.07,1.74736,1.10021,0.99586,0.9542,0.61399,0.68968,0.47183,1.12805,0.63751,0.91545,0.0004654,0.0004654,0.0004654
110,4187.93,1.69939,1.07215,0.99244,0.95407,0.61395,0.6903,0.47145,1.1265,0.63637,0.91545,0.00046045,0.00046045,0.00046045
111,4224.35,1.69723,1.0644,0.99301,0.95797,0.61297,0.69054,0.47235,1.12431,0.63537,0.91519,0.0004555,0.0004555,0.0004555
112,4260.77,1.7068,1.07393,0.99283,0.95625,0.61395,0.69079,0.47484,1.12233,0.63441,0.91471,0.00045055,0.00045055,0.00045055
113,4296.7,1.68872,1.05808,0.99018,0.95423,0.61395,0.68993,0.47469,1.12232,0.63398,0.91441,0.0004456,0.0004456,0.0004456
114,4331.04,1.70326,1.07827,0.99213,0.95254,0.61395,0.69008,0.47519,1.12171,0.63428,0.91419,0.00044065,0.00044065,0.00044065
115,4365.58,1.68357,1.06373,0.98752,0.95282,0.61395,0.69054,0.47603,1.11851,0.63289,0.91368,0.0004357,0.0004357,0.0004357
116,4401.44,1.69402,1.07814,0.98658,0.95425,0.61395,0.69072,0.47609,1.11727,0.63317,0.91345,0.00043075,0.00043075,0.00043075
117,4438.48,1.68588,1.06675,0.98842,0.95718,0.61489,0.69121,0.47638,1.11566,0.63172,0.91324,0.0004258,0.0004258,0.0004258
118,4475.52,1.70866,1.0722,0.99202,0.95574,0.61519,0.69134,0.47609,1.11462,0.63088,0.91311,0.00042085,0.00042085,0.00042085
119,4512.49,1.67199,1.06183,0.9842,0.95519,0.61493,0.69181,0.4772,1.11234,0.62951,0.91276,0.0004159,0.0004159,0.0004159
120,4548.37,1.6658,1.0425,0.9844,0.95064,0.6169,0.69187,0.47733,1.11103,0.62926,0.91238,0.00041095,0.00041095,0.00041095
121,4584.57,1.68785,1.05273,0.98579,0.95017,0.6169,0.69218,0.47765,1.1091,0.62836,0.91213,0.000406,0.000406,0.000406
